Name,CATAID,Name,DESIG_ALLSKY,RA,DEC,SEPARATION,W1M,W2M,W3M,W4M,W1COV,W2COV,W3COV,W4COV,mw1,emw1,PHOTFLAG_W1,RADIUS_W1,MAGPRO_W1,MAGPROERR_W1,REDUCED_CHI_W1,FLUX_W1,FLUXERR_W1,MAGSTDAP_W1,MAGSTDAPERR_W1,MAGSTDAPFLAG_W1,RADIUS_ISO_W1,MAGISO_W1,MAGISOERR_W1,mw2,emw2,PHOTFLAG_W2,RADIUS_W2,MAGPRO_W2,MAGPROERR_W2,REDUCED_CHI_W2,FLUX_W2,FLUXERR_W2,MAGSTDAP_W2,MAGSTDAPERR_W2,MAGSTDAPFLAG_W2,RADIUS_ISO_W2,MAGISO_W2,MAGISOERR_W2,MAGDER_W2,MAGDERERR_W2,mw3,emw3,PHOTFLAG_W3,RADIUS_W3,MAGPRO_W3,MAGPROERR_W3,REDUCED_CHI_W3,FLUX_W3,FLUXERR_W3,MAGSTDAP_W3,MAGSTDAPERR_W3,MAGSTDAPFLAG_W3,RADIUS_ISO_W3,MAGISO_W3,MAGISOERR_W3,mw4,emw4,PHOTFLAG_W4,RADIUS_W4,MAGPRO_W4,MAGPROERR_W4,REDUCED_CHI_W4,FLUX_W4,FLUXERR_W4,MAGSTDAP_W4,MAGSTDAPERR_W4,MAGSTDAPFLAG_W4,RADIUS_ISO_W4,MAGISO_W4,MAGISOERR_W4,MAGDER_W4,MAGDERERR_W4,XSCPROX,BA_ISO,PA_ISO,RFUZZY,NA,NB,CC_FLAGS,DeblendedFraction,SApFlag,NnearSAp,GApFlag,NnearGAp,radeg,dedeg,resname
8353,8353,8353,b'J120804.02+004151.1',182.0167179,0.6975994,0.8305769,26,25,12,14,26.59,26.306,14.574,14.665,15.74,0.022,2,22.45,16.491,0.027,10.34,0.93267,0.022819456,16.057,0.016,1,22.45,15.74,0.022,16.394,0.039,2,17.78,16.997,0.035,1.781,0.5874014,0.019005006,16.609001,0.036,1,17.78,16.394,0.039,16.315,0.054,15.079,0.058,1,-999,15.0789995,0.058,1.147,5.022752,0.26665634,14.761,0.051,1,15.53,15.03,0.052,13.967,0.126,1,-999,14.007,0.126,1.064,9.189936,1.0645105,13.553,0.174,1,16.05,14.412,0.146,14.441,0.17,1.61,0.688,164.1,23.6,0,1,b'0000',0.83892626,2,1,1,3,182.0167083,0.697583333,rs0731
8391,8391,8391,b'J120831.12+004510.1',182.1295215,0.7528211,1.280392,22,22,12,12,22.492,23.185,12.171,12.462,17.567,0.031,3,8.25,17.985,0.042,1.554,0.2356056,0.009131652,17.567,0.031,0,-999,-999,-999,18.081,0.117,3,8.25,18.499,0.091,0.9843,0.1472412,0.012394746,18.081,0.117,0,-999,-999,-999,-999,-999,17.53,-999,-1,-999,17.53,-999,0.8864,0.04495585,0.24037643,17.202,-999,32,-999,-999,-999,15.548,-999,-1,-999,15.588,-999,1.032,-0.13399158,1.0718803,15.054,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.9422924,0,0,0,0,182.1295,0.752805556,rs0732
8404,8404,8404,b'J120852.97+004219.9',182.2205365,0.7054706,0.7313101,24,24,13,13,24.405,24.243,12.739,12.844,18.19,0.068,3,8.25,18.564,0.055,1.212,0.13825381,0.006999863,18.19,0.068,0,-999,-999,-999,19.14,0.279,3,8.25,19.351,0.186,0.8643,0.06719805,0.011499187,19.14,0.279,0,-999,-999,-999,-999,-999,17.584,-999,-1,-999,17.584,-999,0.8785,-0.51644915,0.2500949,17.168001,-999,32,-999,-999,-999,15.31,-999,-1,-999,15.349999,-999,0.9144,-0.80441993,1.3347934,15.14,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.9386588,0,0,0,0,182.2205,0.705444444,rs0735
8450,8450,8450,b'J120941.07+003927.7',182.4210865,0.6576897,0.085508116,24,24,14,14,24.416,24.392,13.764,13.842,16.142,0.013,3,8.25,16.213,0.026,1.271,1.205776,0.028438695,16.142,0.013,0,-999,-999,-999,16.78,0.028,3,8.25,16.802,0.034,0.9052,0.70316684,0.022212088,16.78,0.028,0,-999,-999,-999,-999,-999,15.773,0.089,1,-999,15.773,0.089,0.9331,2.6510823,0.21703295,15.658,0.131,0,-999,-999,-999,14.809,0.269,1,-999,14.849,0.269,0.8651,4.2324824,1.0498751,14.707,0.343,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.92646015,0,0,0,0,182.4210833,0.657666667,rs0744
8485,8485,8485,b'J121012.33+004514.6',182.5513344,0.7539879,0.20144942,26,24,13,13,25.422,23.287,12.915,12.65,16.851,0.036,2,15.95,17.27,0.03,2.495,0.45547965,0.012708305,16.989,0.024,1,15.95,16.851,0.036,17.922,0.089,2,9.78,17.868,0.061,0.9041,0.26323384,0.014895874,17.669,0.062,1,9.78,17.922,0.089,17.659,0.106,16.795,0.214,1,-999,16.795,0.214,0.9577,1.0342925,0.2042851,16.623001,0.258,1,7.99,17.589,0.278,15.453,-999,-1,-999,15.493,-999,0.8573,0.13216217,1.1031896,14.78,-999,32,-999,17.886,-999,-999,-999,-999,0.623,175.4,24.2,0,1,b'0000',0.74918777,2,1,1,3,182.5513333,0.753972222,rs0747
8487,8487,8487,b'J121032.61+004039.1',182.6358474,0.6774937,0.04517871,24,21,14,14,23.6,20.533,13.945,13.874,13.806,0.014,2,42.98,14.514,0.023,16.88,5.762624,0.12444178,14.409,0.007,1,42.98,13.806,0.014,14.561,0.019,2,30.94,15.235,0.023,4.21,2.9771733,0.06310028,15.073999,0.01,1,30.94,14.561,0.019,14.458,0.03,16.206,0.121,1,-999,16.206,0.121,0.9037,1.7799066,0.19876654,16.021,0.147,0,10.05,16.64,0.16,15.082,-999,-1,-999,15.122,-999,0.9426,1.1617308,1.0655558,14.601,-999,32,-999,16.787,-999,-999,-999,0.3,0.771,77.9,19.7,0,1,b'0000',0.8009176,0,0,1,18,182.6358333,0.677472222,rs0750
8488,8488,8488,b'J121031.14+004022.3',182.6297125,0.6728297,0.19355209,24,21,14,14,23.434,20.696,13.98,13.731,16.17,0.019,3,8.25,16.391,0.027,2.756,1.0232086,0.025478145,16.17,0.019,0,15.13,16.339,0.028,16.799,0.039,3,8.25,17.008,0.038,1.041,0.58174837,0.020602461,16.799,0.039,0,12.69,17.077,0.06,17.01,0.076,17.157,0.308,1,-999,17.157,0.308,0.9935,0.7413446,0.21043392,17.113,0.447,0,6,18.108,0.377,14.983,-999,-1,-999,15.023,-999,1.018,1.4985522,1.0532726,14.52,-999,32,12,16.598,0.923,-999,-999,-999,0.691,45.7,14.5,0,1,b'0000',0.40424296,0,0,0,0,182.6297083,0.672805556,rs0749
8490,8490,8490,b'J121033.96+004017.5',182.6414573,0.6715732,0.39649928,23,20,13,13,23.432,20.341,13.963,13.894,18.094,0.115,3,8.25,18.581,0.057,1.014,0.13612145,0.007083842,18.094,0.115,0,-999,-999,-999,18.66,0.171,3,8.25,18.992,0.15,0.9677,0.093494125,0.01289838,18.66,0.171,0,-999,-999,-999,-999,-999,17.72,-999,-1,-999,17.72,-999,1.021,-0.046053752,0.22052127,17.324,-999,32,-999,-999,-999,15.529,-999,-1,-999,15.569,-999,0.9339,-0.11047054,1.0909586,14.899,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.46078467,0,0,0,0,182.6414167,0.671555556,rs1507
8562,8562,8562,b'J121109.66+004707.5',182.7900834,0.7852938,2.6972475,22,20,12,12,24.01,22.428,12.867,12.938,18.908,0.171,3,8.25,19.497,0.113,0.9084,0.058539554,0.006102216,18.907999,0.171,1,-999,-999,-999,19.034,0.276,3,8.25,19.559,0.252,0.9463,0.05548897,0.01287566,19.034,0.276,1,-999,-999,-999,-999,-999,17.73,-999,-1,-999,17.73,-999,0.845,-0.10792831,0.21868852,17.164,-999,32,-999,-999,-999,15.279,-999,-1,-999,15.319,-999,0.9832,0.60694766,1.0698942,14.772,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,b'0000',0.43989468,1,2,1,2,182.7900833,0.785277778,rs0759
8703,8703,8703,b'J121429.24+004948.5',183.6218049,0.8301524,0.19574793,22,12,8,9,23.228,13.653,9.688,10.775,13.767,0.013,2,33.62,14.21,0.023,30.75,7.623126,0.16283412,14.115001,0.006,0,33.62,13.767,0.013,14.327,0.018,2,25.94,14.804,0.022,11.33,4.425594,0.09108414,14.63,0.009,0,25.94,14.327,0.018,14.29,0.028,13.011,0.021,2,22.13,13.21,0.024,7.591,28.087385,0.62722677,12.992,0.013,0,22.13,13.011,0.021,12.686,0.065,1,-999,12.726,0.065,1.014,29.910412,1.7840455,12.611,0.125,1,28.5,12.667,0.076,12.912,0.082,0.5,0.654,132.6,23.3,0,1,b'0000',0.9569255,0,0,2,4,183.6217917,0.830138889,rs0779
